City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tasiilaq,65.6145,-37.6368,-7.91,80,55,2.21,GL,1678220087
84,cabo san lucas,22.8909,-109.9124,27.01,53,20,4.63,MX,1678220016
85,mahebourg,-20.4081,57.7,25.16,94,75,3.09,MU,1678220089
86,tiksi,71.6872,128.8694,-25.44,96,100,2.63,RU,1678220091
87,taoudenni,22.6783,-3.9836,28.16,9,0,1.36,ML,1678220092
88,ahipara,-35.1667,173.1667,17.41,80,2,0.86,NZ,1678220093
89,qaanaaq,77.484,-69.3632,-12.11,91,98,1.78,GL,1678220095
90,puerto ayora,-0.7393,-90.3518,29.98,92,100,4.92,EC,1678219818
91,port alfred,-33.5906,26.891,21.21,95,100,5.87,ZA,1678220097
92,kavieng,-2.5744,150.7967,24.43,91,100,2.51,PG,1678220098
93,zhob,31.3411,69.4481,15.21,53,0,0.89,PK,1678220099
94,albany,42.6001,-73.9662,1.08,59,100,3.58,US,1678219437
95,oshakati,-17.7833,15.6833,29.36,22,74,2.01,NA,1678219538
96,port-gentil,-0.7193,8.7815,27.98,83,20,5.14,GA,1678220103
97,kamenka,51.3223,42.7678,-0.08,98,100,5.34,RU,1678220105
98,shache,38.4167,77.2406,12.06,34,0,2.1,CN,1678220106
99,cockburn town,21.4612,-71.1419,25.98,53,20,1.54,TC,1678219887
100,waipawa,-41.4122,175.5153,14.23,82,19,2.31,NZ,1678220110
101,nanortalik,60.1432,-45.2371,-0.43,87,10,2.69,GL,1678220111
102,saucillo,28.0167,-105.2833,28.41,7,100,2.17,MX,1678219866
103,mar del plata,-38.0023,-57.5575,28.24,81,13,1.79,AR,1678219870
104,pangody,65.85,74.4859,-19.75,96,100,7.17,RU,1678220115
105,victoria,22.2855,114.1577,20.21,86,0,2.68,HK,1678219926
106,aykhal,66.0,111.5,-24.11,100,100,2.79,RU,1678220118
107,carnarvon,-24.8667,113.6333,25.66,74,0,7.27,AU,1678220119
108,nador,35.174,-2.9287,17.14,82,0,5.14,MA,1678220121
109,thompson,55.7435,-97.8558,-13.73,82,100,2.05,CA,1678220122
110,araouane,18.9048,-3.5265,26.5,8,80,4.4,ML,1678220123
111,alekseyevsk,57.8406,108.3492,-4.37,95,100,3.12,RU,1678220125
112,pavino,59.1139,46.1414,-6.75,96,100,2.58,RU,1678220127
113,lebu,-37.6167,-73.65,17.46,81,100,5.72,CL,1678220128
114,mataura,-46.1927,168.8643,14.14,89,47,1.21,NZ,1678220129
115,peniche,39.3558,-9.3811,16.27,96,100,6.83,PT,1678220131
116,saskylakh,71.9167,114.0833,-23.82,93,100,3.12,RU,1678219938
117,ormara,25.2088,64.6357,23.73,75,5,4.07,PK,1678220133
118,inuvik,68.3499,-133.7218,-19.58,65,20,3.09,CA,1678220135
119,alofi,-19.0595,-169.9187,25.22,88,100,3.58,NU,1678220122
120,abu dhabi,24.4667,54.3667,24.97,89,4,3.99,AE,1678219935
121,beringovskiy,63.05,179.3167,-25.26,89,5,2.12,RU,1678220138
122,filingue,14.3521,3.3168,32.62,8,100,4.12,NE,1678220140
123,cidreira,-30.1811,-50.2056,25.49,84,24,2.69,BR,1678220141
124,ternate,0.8,127.4,26.27,83,21,2.79,ID,1678220143
125,mogadishu,2.0371,45.3438,26.16,88,50,9.52,SO,1678220144
126,torbay,47.6666,-52.7314,2.37,95,100,8.75,CA,1678220145
127,sao joao da barra,-21.6403,-41.0511,29.05,82,31,8.35,BR,1678220147
128,mandera,3.9366,41.867,31.27,26,55,3.96,KE,1678220148
129,avarua,-21.2078,-159.775,31.03,74,20,6.17,CK,1678220122
130,busselton,-33.65,115.3333,14.11,67,91,6.35,AU,1678220150
131,sambava,-14.2667,50.1667,25.75,87,59,1.54,MG,1678220153
132,yenagoa,4.9247,6.2642,26.8,84,73,2.55,NG,1678220154
133,pacific grove,36.6177,-121.9166,13.34,57,75,2.24,US,1678220155
134,barhi,23.9,80.8,23.12,38,100,0.87,IN,1678220157
135,coquimbo,-29.9533,-71.3436,21.85,68,20,5.14,CL,1678220033
136,saint-pierre,-21.3393,55.4781,25.82,78,0,3.6,RE,1678220159
137,lavrentiya,65.5833,-171.0,-14.95,96,100,3.66,RU,1678220160
138,khatanga,71.9667,102.5,-36.92,100,96,2.03,RU,1678220162
139,rocha,-34.4833,-54.3333,28.02,60,99,5.13,UY,1678220163
140,yurginskoye,56.8189,67.3921,-5.45,97,100,1.79,RU,1678220165
141,mumford,5.2618,-0.759,27.67,78,99,3.72,GH,1678220167
142,bontang,0.1333,117.5,24.78,88,97,2.07,ID,1678220169
143,kearney,40.6995,-99.0815,0.95,75,100,4.12,US,1678220026
144,geraldton,-28.7667,114.6,23.23,40,0,5.66,AU,1678220174
145,lima,-12.0432,-77.0282,27.14,57,0,4.63,PE,1678219592
146,butaritari,3.0707,172.7902,27.4,74,50,6.38,KI,1678220176
147,tuatapere,-46.1333,167.6833,15.3,92,9,1.6,NZ,1678220113
148,port hawkesbury,45.6169,-61.3485,2.71,78,100,3.13,CA,1678220124
149,port augusta,-32.5,137.7667,14.28,65,22,1.86,AU,1678220180
150,gat,31.61,34.7642,14.67,100,96,2.7,IL,1678220160
151,komsomolskiy,40.4272,71.7189,9.4,76,99,2.06,UZ,1678220184
152,ambilobe,-13.2,49.05,23.89,84,92,1.52,MG,1678220186
153,deep river,46.1001,-77.4995,-3.36,77,100,7.15,CA,1678220188
154,cherskiy,68.75,161.3,-38.22,98,39,1.23,RU,1678220192
155,parintins,-2.6283,-56.7358,24.91,93,100,0.56,BR,1678220003
156,kargopol,61.5071,38.9456,-11.92,99,91,1.81,RU,1678220196
157,siirt,37.9326,41.9403,8.51,55,98,2.08,TR,1678220198
